model_name,split,metric,persisted,recomputed,difference,tolerance,tolerance_fraction
full_smatrix_neural,test,ComplexNRMSE,0.7889251708984375,0.7889254632606968,2.9236225929096804e-07,1e-06,0.29236225929096804
full_smatrix_neural,test_truth,BandLimitedCausalityResidual,0.3172837793827057,0.317283764023363,-1.535934268659389e-08,2e-06,0.0076796713432969455
full_smatrix_neural,test_truth,MagnitudeMax,0.9999783635139465,0.9999783635139465,0.0,2e-06,0.0
full_smatrix_neural,test_truth,MagnitudeMin,7.803834186457669e-16,7.803834186457669e-16,0.0,2e-06,0.0
full_smatrix_neural,test_truth,MaximumSingularValue,0.9999784827232361,0.9999784827232361,0.0,2e-06,0.0
full_smatrix_neural,test_truth,MeanPassivityExcess,0.0,0.0,0.0,2e-06,0.0
full_smatrix_neural,test_truth,PassivityPenalty,0.0,0.0,0.0,2e-06,0.0
full_smatrix_neural,test_truth,PassivityViolationFraction,0.0,0.0,0.0,2e-06,0.0
full_smatrix_neural,test_truth,ReciprocityResidual,6.997560619260418e-11,6.997562987891349e-11,2.3686309305357555e-17,2e-06,1.1843154652678777e-11
full_smatrix_neural,test_prediction,BandLimitedCausalityResidual,0.48123976588249207,0.48123986612759917,1.0024510710415768e-07,2e-06,0.05012255355207884
full_smatrix_neural,test_prediction,MagnitudeMax,0.6125576496124268,0.6125576496124268,0.0,2e-06,0.0
full_smatrix_neural,test_prediction,MagnitudeMin,8.412278111791238e-05,8.412278111791238e-05,0.0,2e-06,0.0
full_smatrix_neural,test_prediction,MaximumSingularValue,0.9141315817832947,0.9141315817832947,0.0,2e-06,0.0
full_smatrix_neural,test_prediction,MeanPassivityExcess,0.0,0.0,0.0,2e-06,0.0
full_smatrix_neural,test_prediction,PassivityPenalty,0.0,0.0,0.0,2e-06,0.0
full_smatrix_neural,test_prediction,PassivityViolationFraction,0.0,0.0,0.0,2e-06,0.0
full_smatrix_neural,test_prediction,ReciprocityResidual,0.0,0.0,0.0,2e-06,0.0
