frequency_ghz,truth_il_s7_1_db,curve_il_s7_1_db,full_matrix_il_s7_1_db,truth_s1_1_real,truth_s1_1_imag,prediction_s1_1_real,prediction_s1_1_imag,truth_s8_1_real,truth_s8_1_imag,prediction_s8_1_real,prediction_s8_1_imag
68.5,24.908314,25.611988,30.510921,-0.4428252,-0.04842867,-0.34504318,-0.09091705,-0.014496887,-0.00716488,-0.0007866622,0.0042551802
69.0,25.413002,25.746752,30.343678,-0.42279732,0.0017528561,-0.34482172,-0.07890148,-0.0013430764,0.014330568,-0.0011633912,0.0041195317
69.5,23.772467,25.83416,30.10112,-0.3671388,-0.041609712,-0.34512368,-0.0676302,0.010404263,-0.004747954,-0.0014695218,0.004050717
70.0,25.57461,26.022383,29.826797,-0.33588344,-0.041277308,-0.34564316,-0.057416067,-0.004475201,-0.004374285,-0.001691791,0.004026579
70.5,24.795977,26.181662,29.576775,-0.34825948,-0.106984764,-0.34565294,-0.048430294,-0.002205993,0.0024627894,-0.001799839,0.004041094
71.0,26.907198,26.44415,29.292542,-0.35707837,-0.10547458,-0.34583005,-0.03949504,0.0015663711,0.0016935347,-0.0018668611,0.0040486427
71.5,26.156616,26.698708,28.96819,-0.3901173,-0.11928768,-0.3460004,-0.03044521,0.0011084635,-0.00094161974,-0.0019054576,0.004061613
72.0,27.674648,27.035295,28.629013,-0.39206803,-0.09277515,-0.3437134,-0.022349533,-0.001528123,-0.00024177233,-0.002070563,0.004065331
72.5,26.360754,27.252708,28.261612,-0.40503418,-0.09613086,-0.33976555,-0.01594399,0.0007881856,0.00086522027,-0.002383152,0.004115027
73.0,27.049341,27.493889,28.077618,-0.39688805,-0.07021208,-0.33511525,-0.011146881,0.00039310267,-0.002950536,-0.0025981867,0.004112833
73.5,26.43287,27.76873,28.245714,-0.41060477,-0.07062821,-0.32573256,-0.013393102,-0.0034521767,0.0014453823,-0.0022410117,0.0042604217
74.0,26.95788,27.999363,28.374352,-0.3932151,-0.039862223,-0.31596592,-0.015494588,0.003624623,0.0054172087,-0.0018934895,0.004403694
74.5,26.460194,28.229881,28.588749,-0.40161633,-0.030522287,-0.30391636,-0.021206949,0.0037766753,-0.00715161,-0.0015832513,0.004654335
75.0,26.08132,28.524174,28.90128,-0.3652678,-0.004090265,-0.29019767,-0.02941697,-0.009735291,-0.0024437832,-0.0012664805,0.0049849735
75.5,25.653973,28.768492,29.179432,-0.36045176,0.00815105,-0.2758384,-0.03776291,0.0018184469,0.009604943,-0.00095488137,0.0053320713
76.0,25.146751,28.882938,29.371609,-0.3067344,0.01448089,-0.26146147,-0.04600807,0.010660771,-0.0017888484,-0.00064418284,0.005692403
76.5,25.430447,29.067957,29.351551,-0.29617086,0.011718678,-0.24799938,-0.054415103,-0.0049933004,-0.010224531,-0.00031198096,0.0061017177
77.0,25.172289,29.377737,29.151857,-0.25001648,-0.0079717375,-0.23660271,-0.06110236,-0.012783793,0.007584082,-9.787847e-05,0.006474856
77.5,26.032246,29.68632,28.837116,-0.24753137,-0.012401502,-0.23024057,-0.064274915,0.012223731,0.009162273,-6.3946834e-05,0.006737299
78.0,25.74719,30.027475,28.535727,-0.21251258,-0.044274013,-0.22377609,-0.066864215,0.0077817347,-0.016097374,-6.9474074e-05,0.0069865747
78.5,26.52477,30.400343,28.299686,-0.21054965,-0.045399055,-0.21602143,-0.07102387,-0.016918119,-0.0006201935,2.0270678e-05,0.007290131
79.0,25.917446,30.862112,28.215609,-0.1880037,-0.08734783,-0.21490842,-0.08067124,0.0031561907,0.01732515,0.00029685049,0.00724229
79.5,26.731333,31.20807,28.122004,-0.18575777,-0.089551896,-0.2162113,-0.08836399,0.012499078,-0.008146191,0.00026869643,0.006919039
80.0,26.023853,31.756891,28.041752,-0.18071204,-0.13256925,-0.21701276,-0.10163777,-0.0095290225,-0.010527724,0.0007519683,0.0068727806
80.5,26.691078,32.266148,27.95589,-0.17740333,-0.13154276,-0.21805575,-0.11616381,-0.0051167803,0.009489682,0.0012934798,0.006865611
81.0,25.846664,32.837162,28.02415,-0.1816862,-0.16839275,-0.22249754,-0.12908435,0.0087207705,0.00419025,0.0018358539,0.0066482574
81.5,26.39273,33.226345,28.346725,-0.16969089,-0.16851042,-0.2268297,-0.13794798,0.0020712123,-0.006268649,0.0022270503,0.0063636247
82.0,25.76559,33.55193,28.608435,-0.17602512,-0.2048273,-0.23012136,-0.14441624,-0.0064993496,-0.0029065066,0.002437494,0.0060447226
82.5,26.459328,33.487583,28.89865,-0.1599952,-0.22106227,-0.23203987,-0.1488961,-0.0030776847,0.0055082384,0.0025252989,0.0055329194
83.0,26.271793,33.286907,29.264362,-0.18021104,-0.26386222,-0.23478107,-0.15129803,0.0076727155,0.0027205173,0.002464019,0.004968063
83.5,27.505613,33.07026,29.702847,-0.18151647,-0.29229948,-0.23731346,-0.15349412,0.0014924869,-0.008217479,0.0023989421,0.0044008177
84.0,27.975994,32.863052,30.26639,-0.22351483,-0.32332182,-0.2401112,-0.15630493,-0.008864041,0.0015565264,0.00233546,0.003802302
84.5,30.081055,32.77179,31.003735,-0.24465428,-0.34356532,-0.24145098,-0.15983428,0.003764251,0.007002848,0.002361798,0.0032099027
